Year,geography,geography code,Obesity rate£¨inclduing serverely obese),Ethnic group: Total: All usual residents,"Ethnic group: Black, Black British, Black Welsh, Caribbean or African",ratio 1-ethnic,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: Level 4 qualifications and above,ratio 2-education,Population Density: Persons per square kilometre; measures: Value,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Full-time: 49 or more hours worked,ratio 3-work time,Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census,Unemployment history: Not in employment: Never worked,ratio 4-unemployment,Average Income of Tax Payers,Take away food shops and mobile food stands units,VIOLENCE AGAINST THE PERSON
2015-2016,Harrow,E09000015,20.2,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,115,3578
2015-2016,Havering,E09000016,21.8,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,165,4214
2015-2016,Hillingdon,E09000017,21.1,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,180,6131
2015-2016,Hounslow,E09000018,24.1,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,130,5915
2015-2016,Islington,E09000019,22.8,216590,28743,0.132706958,183626,103975,0.566232451,14574.9,114970,20593,0.179116291,68656,24162,0.351928455,76600,185,5716
2015-2016,Kensington and Chelsea,E09000020,18.6,143373,11279,0.078668927,123089,73226,0.594902875,11816.5,69440,18680,0.269009217,53649,18619,0.347052135,208000,80,3398
2015-2016,Kingston upon Thames,E09000021,16.9,168065,4741,0.028209324,135466,69582,0.513649181,4512.1,84148,10707,0.127240101,51315,13764,0.268225665,56500,100,2476
2015-2016,Lambeth,E09000022,23,317650,76145,0.239713521,268945,151312,0.562613174,11839.1,182818,27282,0.149230382,86125,29047,0.337265602,56100,165,8331
2015-2016,Lewisham,E09000023,23.6,300553,80473,0.267749781,242410,120814,0.49838703,8551.5,155712,17510,0.112451192,86699,28635,0.330280626,44800,170,6917
2015-2016,Merton,E09000024,19.2,215187,22887,0.106358655,172771,86412,0.500153382,5721.6,112065,15099,0.134734306,60707,18123,0.298532294,63000,110,3222
2015-2016,Newham,E09000025,27.6,351030,61302,0.174634647,276174,111130,0.402391246,9690.1,163445,16422,0.100474166,112728,54952,0.487474274,36100,180,8015
2015-2016,Redbridge,E09000026,23.3,310261,26096,0.08410983,242017,102696,0.424333828,5501.9,141628,15062,0.106349027,100390,40547,0.40389481,42700,155,5010
2015-2016,Richmond upon Thames,E09000027,12.6,195277,3687,0.018880872,155834,94089,0.603777096,3401.9,97565,17648,0.180884539,58269,12608,0.216375774,90400,85,2304
2015-2016,Southwark,E09000028,27.6,307640,77299,0.251264465,256136,140514,0.548591373,10659,166948,25300,0.151544193,89188,31262,0.350518007,57800,180,7241
2015-2016,Sutton,E09000029,18.4,209636,12465,0.059460207,165657,65889,0.39774353,4781,104226,10888,0.104465297,61433,16487,0.268373675,45200,120,3115
2015-2016,Tower Hamlets,E09000030,27.1,310306,22693,0.073131038,252883,127299,0.503390896,15702.9,155392,23880,0.153675865,97491,46215,0.474043758,55500,210,7224
2015-2016,Waltham Forest,E09000031,26.3,278428,41647,0.149579065,222182,95910,0.431673133,7173.3,140371,14909,0.106211397,81810,30614,0.374208532,40100,150,5737
2015-2016,Wandsworth,E09000032,19.3,327506,33062,0.100950822,273558,171346,0.626360772,9560,190442,35828,0.188130769,83116,24998,0.300760383,79700,160,5630
2015-2016,Westminster,E09000033,24.9,204236,16456,0.080573454,177467,102356,0.57676075,9514.2,101742,25228,0.247960528,75725,30007,0.396262793,133000,315,7866
2016-2017,Barking and Dagenham,E09000002,29.6,218871,46807,0.213856564,161746,53791,0.332564638,6065.8,94588,8211,0.086808052,67156,28236,0.420453869,31800,130,5259
2016-2017,Barnet,E09000003,19,389344,30651,0.078724727,309354,151642,0.490189233,4488.7,186175,24710,0.132724587,123179,41107,0.333717598,59100,180,6050
2016-2017,Bexley,E09000004,24.5,246475,30075,0.122020489,195825,61837,0.315776842,4070.7,117985,11764,0.09970759,77844,20228,0.259853039,38000,135,3774
2016-2017,Brent,E09000005,28.3,339821,59495,0.175077467,275143,109998,0.399784839,7859.6,160997,17971,0.111623198,114146,47370,0.414994831,44100,170,7644
2016-2017,Bromley,E09000006,17.4,329991,25149,0.076211169,265088,113508,0.428189884,2197.7,162122,20875,0.128761056,102966,23070,0.224054542,54500,180,5359
2016-2017,Camden,E09000007,23.1,210136,18892,0.089903681,177909,101932,0.572944595,9640.9,102511,20053,0.195618031,75397,27328,0.36245474,119000,210,6000
2016-2017,Croydon,E09000008,23.1,390724,88441,0.226351593,310397,127342,0.410255254,4516,189405,19191,0.101322563,120991,38272,0.316321049,40900,245,8639
2016-2017,Ealing,E09000009,23.5,367116,39491,0.107570904,295371,130981,0.4434457,6611.6,175026,20590,0.117639665,120345,46928,0.389945573,46800,175,7768
2016-2017,Enfield,E09000010,25.3,329985,60512,0.183378032,257182,93371,0.36305418,4082.5,143864,13881,0.09648696,113318,43133,0.380636792,42800,160,6215
2016-2017,Greenwich,E09000011,28,289065,60602,0.209648349,229748,104926,0.456700385,6108.6,142937,18081,0.126496289,86813,29664,0.341699976,48900,135,7049
2016-2017,Hackney,E09000012,27,259147,54645,0.210864876,209468,109724,0.523822254,13593.3,134310,18379,0.136840146,75158,31596,0.420394369,52500,170,7110
2016-2017,Hammersmith and Fulham,E09000013,22.9,183156,22453,0.122589487,154626,89043,0.575860463,11161.1,98093,18880,0.192470411,56534,18650,0.329889978,83600,105,4629
2016-2017,Haringey,E09000014,22.4,264238,46466,0.175849045,216000,104270,0.482731481,8930.2,134381,15952,0.118707258,81620,30349,0.371832884,57100,135,6997
2016-2017,Harrow,E09000015,20.6,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,125,3738
2016-2017,Havering,E09000016,22.9,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,150,5039
2016-2017,Hillingdon,E09000017,22.6,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,175,6425
2016-2017,Hounslow,E09000018,24.4,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,135,6083
2016-2017,Islington,E09000019,24.9,216590,28743,0.132706958,183626,103975,0.566232451,14574.9,114970,20593,0.179116291,68656,24162,0.351928455,76600,185,6064
2016-2017,Kensington and Chelsea,E09000020,19.2,143373,11279,0.078668927,123089,73226,0.594902875,11816.5,69440,18680,0.269009217,53649,18619,0.347052135,208000,85,3415
2016-2017,Kingston upon Thames,E09000021,15.3,168065,4741,0.028209324,135466,69582,0.513649181,4512.1,84148,10707,0.127240101,51315,13764,0.268225665,56500,100,2594
2016-2017,Lambeth,E09000022,24.6,317650,76145,0.239713521,268945,151312,0.562613174,11839.1,182818,27282,0.149230382,86125,29047,0.337265602,56100,160,8447
2016-2017,Lewisham,E09000023,23.4,300553,80473,0.267749781,242410,120814,0.49838703,8551.5,155712,17510,0.112451192,86699,28635,0.330280626,44800,160,7188
2016-2017,Merton,E09000024,21.6,215187,22887,0.106358655,172771,86412,0.500153382,5721.6,112065,15099,0.134734306,60707,18123,0.298532294,63000,115,3304
2016-2017,Newham,E09000025,26.5,351030,61302,0.174634647,276174,111130,0.402391246,9690.1,163445,16422,0.100474166,112728,54952,0.487474274,36100,190,8140
2016-2017,Redbridge,E09000026,23.6,310261,26096,0.08410983,242017,102696,0.424333828,5501.9,141628,15062,0.106349027,100390,40547,0.40389481,42700,155,5417
2016-2017,Richmond upon Thames,E09000027,13.9,195277,3687,0.018880872,155834,94089,0.603777096,3401.9,97565,17648,0.180884539,58269,12608,0.216375774,90400,90,2489
2016-2017,Southwark,E09000028,28,307640,77299,0.251264465,256136,140514,0.548591373,10659,166948,25300,0.151544193,89188,31262,0.350518007,57800,190,7685
2016-2017,Sutton,E09000029,18,209636,12465,0.059460207,165657,65889,0.39774353,4781,104226,10888,0.104465297,61433,16487,0.268373675,45200,115,3093
2016-2017,Tower Hamlets,E09000030,26.5,310306,22693,0.073131038,252883,127299,0.503390896,15702.9,155392,23880,0.153675865,97491,46215,0.474043758,55500,220,7556
2016-2017,Waltham Forest,E09000031,25.5,278428,41647,0.149579065,222182,95910,0.431673133,7173.3,140371,14909,0.106211397,81810,30614,0.374208532,40100,150,6177
2016-2017,Wandsworth,E09000032,20.9,327506,33062,0.100950822,273558,171346,0.626360772,9560,190442,35828,0.188130769,83116,24998,0.300760383,79700,170,5537
2016-2017,Westminster,E09000033,26.4,204236,16456,0.080573454,177467,102356,0.57676075,9514.2,101742,25228,0.247960528,75725,30007,0.396262793,133000,315,8368
2017-2018,Barking and Dagenham,E09000002,30,218871,46807,0.213856564,161746,53791,0.332564638,6065.8,94588,8211,0.086808052,67156,28236,0.420453869,31800,135,5280
2017-2018,Barnet,E09000003,18.6,389344,30651,0.078724727,309354,151642,0.490189233,4488.7,186175,24710,0.132724587,123179,41107,0.333717598,59100,180,6251
2017-2018,Bexley,E09000004,21.6,246475,30075,0.122020489,195825,61837,0.315776842,4070.7,117985,11764,0.09970759,77844,20228,0.259853039,38000,125,4092
2017-2018,Brent,E09000005,28.1,339821,59495,0.175077467,275143,109998,0.399784839,7859.6,160997,17971,0.111623198,114146,47370,0.414994831,44100,155,8154
2017-2018,Bromley,E09000006,15.2,329991,25149,0.076211169,265088,113508,0.428189884,2197.7,162122,20875,0.128761056,102966,23070,0.224054542,54500,175,5893
2017-2018,Camden,E09000007,21.9,210136,18892,0.089903681,177909,101932,0.572944595,9640.9,102511,20053,0.195618031,75397,27328,0.36245474,119000,225,6500
2017-2018,Croydon,E09000008,23.5,390724,88441,0.226351593,310397,127342,0.410255254,4516,189405,19191,0.101322563,120991,38272,0.316321049,40900,245,8595
2017-2018,Ealing,E09000009,24,367116,39491,0.107570904,295371,130981,0.4434457,6611.6,175026,20590,0.117639665,120345,46928,0.389945573,46800,160,7835
2017-2018,Enfield,E09000010,25.6,329985,60512,0.183378032,257182,93371,0.36305418,4082.5,143864,13881,0.09648696,113318,43133,0.380636792,42800,165,6414
2017-2018,Greenwich,E09000011,25,289065,60602,0.209648349,229748,104926,0.456700385,6108.6,142937,18081,0.126496289,86813,29664,0.341699976,48900,140,7305
2017-2018,Hackney,E09000012,25.3,259147,54645,0.210864876,209468,109724,0.523822254,13593.3,134310,18379,0.136840146,75158,31596,0.420394369,52500,175,7523
2017-2018,Hammersmith and Fulham,E09000013,21.5,183156,22453,0.122589487,154626,89043,0.575860463,11161.1,98093,18880,0.192470411,56534,18650,0.329889978,83600,115,4729
2017-2018,Haringey,E09000014,23.7,264238,46466,0.175849045,216000,104270,0.482731481,8930.2,134381,15952,0.118707258,81620,30349,0.371832884,57100,130,7435
2017-2018,Harrow,E09000015,19.7,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,120,3959
2017-2018,Havering,E09000016,22.6,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,155,4960
2017-2018,Hillingdon,E09000017,21.8,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,185,6537
2017-2018,Hounslow,E09000018,23,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,135,6568
2017-2018,Islington,E09000019,23.6,216590,28743,0.132706958,183626,103975,0.566232451,14574.9,114970,20593,0.179116291,68656,24162,0.351928455,76600,185,6126
2017-2018,Kensington and Chelsea,E09000020,20.8,143373,11279,0.078668927,123089,73226,0.594902875,11816.5,69440,18680,0.269009217,53649,18619,0.347052135,208000,80,3802
2017-2018,Kingston upon Thames,E09000021,14.8,168065,4741,0.028209324,135466,69582,0.513649181,4512.1,84148,10707,0.127240101,51315,13764,0.268225665,56500,100,2862
2017-2018,Lambeth,E09000022,24.4,317650,76145,0.239713521,268945,151312,0.562613174,11839.1,182818,27282,0.149230382,86125,29047,0.337265602,56100,175,8544
2017-2018,Lewisham,E09000023,24.3,300553,80473,0.267749781,242410,120814,0.49838703,8551.5,155712,17510,0.112451192,86699,28635,0.330280626,44800,175,7445
2017-2018,Merton,E09000024,21.7,215187,22887,0.106358655,172771,86412,0.500153382,5721.6,112065,15099,0.134734306,60707,18123,0.298532294,63000,110,3561
2017-2018,Newham,E09000025,27.4,351030,61302,0.174634647,276174,111130,0.402391246,9690.1,163445,16422,0.100474166,112728,54952,0.487474274,36100,185,8589
2017-2018,Redbridge,E09000026,25.3,310261,26096,0.08410983,242017,102696,0.424333828,5501.9,141628,15062,0.106349027,100390,40547,0.40389481,42700,165,5612
2017-2018,Richmond upon Thames,E09000027,12.3,195277,3687,0.018880872,155834,94089,0.603777096,3401.9,97565,17648,0.180884539,58269,12608,0.216375774,90400,85,2736
2017-2018,Southwark,E09000028,24.6,307640,77299,0.251264465,256136,140514,0.548591373,10659,166948,25300,0.151544193,89188,31262,0.350518007,57800,200,7668
2017-2018,Sutton,E09000029,19.1,209636,12465,0.059460207,165657,65889,0.39774353,4781,104226,10888,0.104465297,61433,16487,0.268373675,45200,120,3491
2017-2018,Tower Hamlets,E09000030,26.7,310306,22693,0.073131038,252883,127299,0.503390896,15702.9,155392,23880,0.153675865,97491,46215,0.474043758,55500,220,7688
2017-2018,Waltham Forest,E09000031,24.3,278428,41647,0.149579065,222182,95910,0.431673133,7173.3,140371,14909,0.106211397,81810,30614,0.374208532,40100,155,5959
2017-2018,Wandsworth,E09000032,19.5,327506,33062,0.100950822,273558,171346,0.626360772,9560,190442,35828,0.188130769,83116,24998,0.300760383,79700,165,6010
2017-2018,Westminster,E09000033,22.9,204236,16456,0.080573454,177467,102356,0.57676075,9514.2,101742,25228,0.247960528,75725,30007,0.396262793,133000,305,9300
2018-2019,Barking and Dagenham,E09000002,29.5,218871,46807,0.213856564,161746,53791,0.332564638,6065.8,94588,8211,0.086808052,67156,28236,0.420453869,31800,135,5502
2018-2019,Barnet,E09000003,20,389344,30651,0.078724727,309354,151642,0.490189233,4488.7,186175,24710,0.132724587,123179,41107,0.333717598,59100,180,6522
2018-2019,Bexley,E09000004,23,246475,30075,0.122020489,195825,61837,0.315776842,4070.7,117985,11764,0.09970759,77844,20228,0.259853039,38000,125,4266
2018-2019,Brent,E09000005,26,339821,59495,0.175077467,275143,109998,0.399784839,7859.6,160997,17971,0.111623198,114146,47370,0.414994831,44100,155,8534
2018-2019,Bromley,E09000006,17.8,329991,25149,0.076211169,265088,113508,0.428189884,2197.7,162122,20875,0.128761056,102966,23070,0.224054542,54500,175,5934
2018-2019,Camden,E09000007,21.5,210136,18892,0.089903681,177909,101932,0.572944595,9640.9,102511,20053,0.195618031,75397,27328,0.36245474,119000,225,6865
2018-2019,Croydon,E09000008,24.5,390724,88441,0.226351593,310397,127342,0.410255254,4516,189405,19191,0.101322563,120991,38272,0.316321049,40900,245,9060
2018-2019,Ealing,E09000009,24.4,367116,39491,0.107570904,295371,130981,0.4434457,6611.6,175026,20590,0.117639665,120345,46928,0.389945573,46800,160,8051
2018-2019,Enfield,E09000010,27,329985,60512,0.183378032,257182,93371,0.36305418,4082.5,143864,13881,0.09648696,113318,43133,0.380636792,42800,165,6953
2018-2019,Greenwich,E09000011,26.9,289065,60602,0.209648349,229748,104926,0.456700385,6108.6,142937,18081,0.126496289,86813,29664,0.341699976,48900,140,7673
2018-2019,Hackney,E09000012,24.6,259147,54645,0.210864876,209468,109724,0.523822254,13593.3,134310,18379,0.136840146,75158,31596,0.420394369,52500,175,7608
2018-2019,Hammersmith and Fulham,E09000013,20.5,183156,22453,0.122589487,154626,89043,0.575860463,11161.1,98093,18880,0.192470411,56534,18650,0.329889978,83600,115,5098
2018-2019,Haringey,E09000014,23.5,264238,46466,0.175849045,216000,104270,0.482731481,8930.2,134381,15952,0.118707258,81620,30349,0.371832884,57100,130,7723
2018-2019,Harrow,E09000015,20,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,120,4241
2018-2019,Havering,E09000016,21.5,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,155,5303
2018-2019,Hillingdon,E09000017,23.6,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,185,6872
2018-2019,Hounslow,E09000018,24.8,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,135,7119
2018-2019,Islington,E09000019,23.4,216590,28743,0.132706958,183626,103975,0.566232451,14574.9,114970,20593,0.179116291,68656,24162,0.351928455,76600,185,6443
2018-2019,Kensington and Chelsea,E09000020,23,143373,11279,0.078668927,123089,73226,0.594902875,11816.5,69440,18680,0.269009217,53649,18619,0.347052135,208000,80,4085
2018-2019,Kingston upon Thames,E09000021,14.2,168065,4741,0.028209324,135466,69582,0.513649181,4512.1,84148,10707,0.127240101,51315,13764,0.268225665,56500,100,3175
2018-2019,Lambeth,E09000022,23.6,317650,76145,0.239713521,268945,151312,0.562613174,11839.1,182818,27282,0.149230382,86125,29047,0.337265602,56100,175,8560
2018-2019,Lewisham,E09000023,22.4,300553,80473,0.267749781,242410,120814,0.49838703,8551.5,155712,17510,0.112451192,86699,28635,0.330280626,44800,175,7514
2018-2019,Merton,E09000024,19.7,215187,22887,0.106358655,172771,86412,0.500153382,5721.6,112065,15099,0.134734306,60707,18123,0.298532294,63000,110,3649
2018-2019,Newham,E09000025,27.7,351030,61302,0.174634647,276174,111130,0.402391246,9690.1,163445,16422,0.100474166,112728,54952,0.487474274,36100,185,8865
2018-2019,Redbridge,E09000026,24.1,310261,26096,0.08410983,242017,102696,0.424333828,5501.9,141628,15062,0.106349027,100390,40547,0.40389481,42700,165,6133
2018-2019,Richmond upon Thames,E09000027,11.2,195277,3687,0.018880872,155834,94089,0.603777096,3401.9,97565,17648,0.180884539,58269,12608,0.216375774,90400,85,2894
2018-2019,Southwark,E09000028,25.9,307640,77299,0.251264465,256136,140514,0.548591373,10659,166948,25300,0.151544193,89188,31262,0.350518007,57800,200,8575
2018-2019,Sutton,E09000029,19.8,209636,12465,0.059460207,165657,65889,0.39774353,4781,104226,10888,0.104465297,61433,16487,0.268373675,45200,120,3597
2018-2019,Tower Hamlets,E09000030,25.3,310306,22693,0.073131038,252883,127299,0.503390896,15702.9,155392,23880,0.153675865,97491,46215,0.474043758,55500,220,8396
2018-2019,Waltham Forest,E09000031,23.7,278428,41647,0.149579065,222182,95910,0.431673133,7173.3,140371,14909,0.106211397,81810,30614,0.374208532,40100,155,6352
2018-2019,Wandsworth,E09000032,19.3,327506,33062,0.100950822,273558,171346,0.626360772,9560,190442,35828,0.188130769,83116,24998,0.300760383,79700,165,6572
2018-2019,Westminster,E09000033,24,204236,16456,0.080573454,177467,102356,0.57676075,9514.2,101742,25228,0.247960528,75725,30007,0.396262793,133000,305,9774
2019-2020,Barking and Dagenham,E09000002,28.4,218871,46807,0.213856564,161746,53791,0.332564638,6065.8,94588,8211,0.086808052,67156,28236,0.420453869,31800,135,5950
2019-2020,Barnet,E09000003,20.4,389344,30651,0.078724727,309354,151642,0.490189233,4488.7,186175,24710,0.132724587,123179,41107,0.333717598,59100,180,7238
2019-2020,Bexley,E09000004,22.1,246475,30075,0.122020489,195825,61837,0.315776842,4070.7,117985,11764,0.09970759,77844,20228,0.259853039,38000,125,5265
2019-2020,Brent,E09000005,25.1,339821,59495,0.175077467,275143,109998,0.399784839,7859.6,160997,17971,0.111623198,114146,47370,0.414994831,44100,155,8710
2019-2020,Bromley,E09000006,16,329991,25149,0.076211169,265088,113508,0.428189884,2197.7,162122,20875,0.128761056,102966,23070,0.224054542,54500,175,6483
2019-2020,Camden,E09000007,22.7,210136,18892,0.089903681,177909,101932,0.572944595,9640.9,102511,20053,0.195618031,75397,27328,0.36245474,119000,225,6597
2019-2020,Croydon,E09000008,24.2,390724,88441,0.226351593,310397,127342,0.410255254,4516,189405,19191,0.101322563,120991,38272,0.316321049,40900,245,9579
2019-2020,Ealing,E09000009,23.4,367116,39491,0.107570904,295371,130981,0.4434457,6611.6,175026,20590,0.117639665,120345,46928,0.389945573,46800,160,8359
2019-2020,Enfield,E09000010,u,329985,60512,0.183378032,257182,93371,0.36305418,4082.5,143864,13881,0.09648696,113318,43133,0.380636792,42800,165,7857
2019-2020,Greenwich,E09000011,28.2,289065,60602,0.209648349,229748,104926,0.456700385,6108.6,142937,18081,0.126496289,86813,29664,0.341699976,48900,140,7966
2019-2020,Hackney,E09000012,27.6,259147,54645,0.210864876,209468,109724,0.523822254,13593.3,134310,18379,0.136840146,75158,31596,0.420394369,52500,175,7743
2019-2020,Hammersmith and Fulham,E09000013,19.9,183156,22453,0.122589487,154626,89043,0.575860463,11161.1,98093,18880,0.192470411,56534,18650,0.329889978,83600,115,5295
2019-2020,Haringey,E09000014,20.9,264238,46466,0.175849045,216000,104270,0.482731481,8930.2,134381,15952,0.118707258,81620,30349,0.371832884,57100,130,7451
2019-2020,Harrow,E09000015,21.7,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,120,4521
2019-2020,Havering,E09000016,23.8,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,155,5387
2019-2020,Hillingdon,E09000017,21.3,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,185,7520
2019-2020,Hounslow,E09000018,24.1,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,135,7567
2019-2020,Islington,E09000019,24.9,216590,28743,0.132706958,183626,103975,0.566232451,14574.9,114970,20593,0.179116291,68656,24162,0.351928455,76600,185,6315
2019-2020,Kensington and Chelsea,E09000020,22.1,143373,11279,0.078668927,123089,73226,0.594902875,11816.5,69440,18680,0.269009217,53649,18619,0.347052135,208000,80,4206
2019-2020,Kingston upon Thames,E09000021,18.6,168065,4741,0.028209324,135466,69582,0.513649181,4512.1,84148,10707,0.127240101,51315,13764,0.268225665,56500,100,3307
2019-2020,Lambeth,E09000022,23.7,317650,76145,0.239713521,268945,151312,0.562613174,11839.1,182818,27282,0.149230382,86125,29047,0.337265602,56100,175,9028
2019-2020,Lewisham,E09000023,23.8,300553,80473,0.267749781,242410,120814,0.49838703,8551.5,155712,17510,0.112451192,86699,28635,0.330280626,44800,175,8457
2019-2020,Merton,E09000024,20.8,215187,22887,0.106358655,172771,86412,0.500153382,5721.6,112065,15099,0.134734306,60707,18123,0.298532294,63000,110,3931
2019-2020,Newham,E09000025,28.1,351030,61302,0.174634647,276174,111130,0.402391246,9690.1,163445,16422,0.100474166,112728,54952,0.487474274,36100,185,8996
2019-2020,Redbridge,E09000026,25.2,310261,26096,0.08410983,242017,102696,0.424333828,5501.9,141628,15062,0.106349027,100390,40547,0.40389481,42700,165,6265
2019-2020,Richmond upon Thames,E09000027,12,195277,3687,0.018880872,155834,94089,0.603777096,3401.9,97565,17648,0.180884539,58269,12608,0.216375774,90400,85,2966
2019-2020,Southwark,E09000028,27.3,307640,77299,0.251264465,256136,140514,0.548591373,10659,166948,25300,0.151544193,89188,31262,0.350518007,57800,200,8838
2019-2020,Sutton,E09000029,17.7,209636,12465,0.059460207,165657,65889,0.39774353,4781,104226,10888,0.104465297,61433,16487,0.268373675,45200,120,4195
2019-2020,Tower Hamlets,E09000030,25.7,310306,22693,0.073131038,252883,127299,0.503390896,15702.9,155392,23880,0.153675865,97491,46215,0.474043758,55500,220,8394
2019-2020,Waltham Forest,E09000031,24,278428,41647,0.149579065,222182,95910,0.431673133,7173.3,140371,14909,0.106211397,81810,30614,0.374208532,40100,155,6111
2019-2020,Wandsworth,E09000032,u,327506,33062,0.100950822,273558,171346,0.626360772,9560,190442,35828,0.188130769,83116,24998,0.300760383,79700,165,6646
2019-2020,Westminster,E09000033,25,204236,16456,0.080573454,177467,102356,0.57676075,9514.2,101742,25228,0.247960528,75725,30007,0.396262793,133000,305,10736
